id,title,genre,original_language,overview,popularity,release_date,vote_average,vote_count
332567,The Shallows,"Horror,Drama,Thriller",en,"When Nancy is surfing on a secluded beach, she finds herself on the feeding ground of a great white shark. Though she is stranded only 200 yards from shore, survival proves to be the ultimate test of wills, requiring all of Nancy's ingenuity, resourcefulness, and fortitude.",25.619,2016-06-24,6.4,4466
727293,The Tender Bar,Drama,en,"J.R. is a fatherless boy growing up in the glow of a bar where the bartender, his Uncle Charlie, is the sharpest and most colorful of an assortment of quirky and demonstrative father figures. As the boy’s determined mother struggles to provide her son with opportunities denied to her — and leave the dilapidated home of her outrageous if begrudgingly supportive father — J.R. begins to gamely, if not always gracefully, pursue his romantic and professional dreams, with one foot persistently placed in Uncle Charlie’s bar.",38.86,2021-12-17,6.7,340
9385,The Twelve Tasks of Asterix,"Family,Animation,Comedy,Adventure",fr,"Asterix and Obelix depart on an adventure to complete twelve impossible tasks to prove to Caesar that they are as strong as the Gods. You'll roar with laughter as they outwit, outrun, and generally outrage the very people who are trying to prove them ""only human"".",11.68,1976-06-26,7.4,947
635731,Pig,"Drama,Thriller",en,A truffle hunter who lives alone in the Oregon wilderness must visit Portland to find the mysterious person who stole his beloved foraging pig.,13.756,2021-07-16,6.7,787
8835,Legally Blonde,Comedy,en,"Elle Woods, a fashionable sorority queen, is dumped by her boyfriend. She decides to follow him to law school, but while there, she figures out that there is more to herself than just looks.",36.648,2001-07-13,6.7,3157
38365,Grown Ups,Comedy,en,"After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend.",113.732,2010-06-24,6.3,5013
5991,The Last Laugh,Drama,de,"An aging doorman, after being fired from his prestigious job at a luxurious Hotel is forced to face the scorn of his friends, neighbours and society.",5.843,1924-12-23,7.8,224
390062,Jungle,"Adventure,Drama,Thriller",en,"In 1981, an enthusiastic young adventurer follows his dreams into the Bolivian Amazon jungle with two friends and a guide with a mysterious past. Their journey quickly turns into a terrifying ordeal as the darkest elements of human nature and the deadliest threats of the wilderness lead to an all-out fight for survival.",27.869,2017-06-27,6.6,1584
82675,Taken 2,"Action,Crime,Thriller",en,"In Istanbul, retired CIA operative Bryan Mills and his wife are taken hostage by the father of a kidnapper Mills killed while rescuing his daughter.",123.672,2012-09-27,6.3,5742
3870,1900,"Drama,History",it,"The epic tale of a class struggle in twentieth century Italy, as seen through the eyes of two childhood friends on opposing sides.",12.417,1976-09-01,7.9,488
